Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax
49ers,2013,12,4,0,Good,2843160,9257768,16945177,10569598,17479156,57094859,11028483,17860800,10696955,12885741,52471979,6831666,6601496,116398504,123000000
Bears,2013,8,8,0,Mediocre,11276471,12036166,16580067,2495000,10071052,52458756,29744128,12474915,3802254,15375000,61396297,6290000,2854947,120145053,123000000
Bengals,2013,11,5,0,Good,2760833,5750703,8628272,5005166,22288147,44433121,38698754,8370673,5834061,16118302,69021790,5660000,3885089,119114911,123000000
Bills,2013,6,10,0,Bad,4663940,8362867,8979223,4489668,14455361,40951059,29011040,6284838,10503423,7069748,52869049,2358844,26821048,96178952,123000000
Broncos,2013,13,3,0,Good,18716295,5013752,10120554,8013902,25448424,67312927,12040751,12951882,5858346,17559225,48410204,5793833,1483036,121516964,123000000
Browns,2013,4,12,0,Bad,4171299,2200883,5665825,2620527,23789034,38447568,21502679,20237182,2398318,10928931,55067110,2015000,27470322,95529678,123000000
Buccaneers,2013,4,12,0,Bad,1184375,4644753,13771326,2393504,25305673,47299631,19183871,6396562,13033579,19419921,58033933,4810000,12856436,110143564,123000000
Cardinals,2013,10,6,0,Good,6172993,5306754,15022466,4353078,19069690,49924981,20498000,13311655,2809618,10407900,47027173,4716666,21331180,101668820,123000000
Chargers,2013,9,7,0,Mediocre,15996516,8212583,10926398,8795715,17428226,61359438,6241425,18315172,11490435,4839588,40886620,5652500,15101442,107898558,123000000
Chiefs,2013,11,5,0,Good,10708333,6779755,7268150,3435650,20708982,48900870,13759289,22533136,13251425,13096878,62640728,3888750,7569652,115430348,123000000
Colts,2013,11,5,0,Good,8524545,7237379,11908481,2615661,18601449,48887515,13140390,20991429,13323235,9596407,57051461,6857000,10204024,112795976,123000000
Cowboys,2013,8,8,0,Mediocre,13818982,2257011,8120768,5623758,19470710,49291229,5814913,26468546,3220898,13029474,48533831,2095833,23079107,99920893,123000000
Dolphins,2013,8,8,0,Mediocre,5859205,2412352,8242874,6007127,17638011,40159569,27792257,9006508,5027138,13351955,55177858,3179890,24482683,98517317,123000000
Eagles,2013,10,6,0,Good,13385137,10184362,19199989,5509036,25664899,73943423,14205767,11292817,6920158,6032738,38451480,2320027,8285070,114714930,123000000
Falcons,2013,4,12,0,Bad,10920140,6293062,17406642,6938146,16471155,58029145,17946068,8433728,7249890,9276181,42905867,4022283,18042705,104957295,123000000
Giants,2013,7,9,0,Mediocre,21998400,5036739,8677626,2998913,24235900,62947578,14642808,7916847,12704990,11202110,46466755,3494000,10091667,112908333,123000000
Jaguars,2013,4,12,0,Bad,8347588,8982941,6832868,7160882,14764080,46088359,13923225,13544999,3396626,2807072,33671922,4368871,38870848,84129152,123000000
Jets,2013,8,8,0,Mediocre,14759015,4154535,12811933,2593765,21528632,55847880,5447833,19656284,3028114,12965418,41097649,1672352,24382119,98617881,123000000
Lions,2013,7,9,0,Mediocre,21556666,3987009,15281546,4207277,13221451,58253949,22485856,10479067,4758334,6133807,43857064,1685075,19203912,103796088,123000000
Packers,2013,8,7,1,Mediocre,13013000,2429420,10223980,11341695,17540974,54549069,16546195,21036760,5083802,13957143,56623900,4276250,7550781,115449219,123000000
Panthers,2013,12,4,0,Good,7579454,11315450,10702213,4325000,18885126,52807243,16170994,12890911,6639853,3244456,38946214,2079670,29166873,93833127,123000000
Patriots,2013,12,4,0,Good,14603953,3682367,8749814,4150882,22775490,53962506,21590202,10801171,7386653,8618787,48396813,4360500,16280181,106719819,123000000
Raiders,2013,4,12,0,Bad,1146517,11660884,4609651,1496363,10275023,29188438,7242262,6548030,6752294,6688580,27231166,6491166,60089230,62910770,123000000
Rams,2013,7,9,0,Mediocre,13422823,2637944,5479738,6187555,19240160,46968220,23343366,15693252,3645196,17453159,60134973,1651371,14245436,108754564,123000000
Ravens,2013,8,8,0,Mediocre,7381327,7936927,7932810,3966000,16354916,43571980,17852491,23412159,3813423,10949281,56027354,3735000,19665666,103334334,123000000
Redskins,2013,3,13,0,Bad,5972967,2212882,19585321,4639357,20025614,52436141,14227749,19629100,4619719,7102431,45578999,2650000,22334860,100665140,123000000
Saints,2013,11,5,0,Good,18193235,9159749,11679433,3245951,17964025,60242393,17728724,14015416,9960582,11598369,53303091,2775294,6679222,116320778,123000000
Seahawks,2013,13,3,0,Good,1521085,10799653,16831423,12778788,27955261,69886210,32619341,7377232,8579619,3557545,52133737,2792500,-1812447,124812447,123000000
Steelers,2013,8,8,0,Mediocre,15393138,2549641,8697844,9207474,10734255,46582352,12586770,21979116,16480395,11069889,62116170,2676324,11625154,111374846,123000000
